,Code
944,054930
945,185490
946,208340
947,365330
948,205500
949,038070
950,347740
951,012790
952,204840
953,090410
954,105740
955,036670
956,258610
957,201490
958,301300
959,020710
960,053290
961,039240
962,274400
963,314140
964,321260
965,352700
966,033540
967,043910
968,109860
969,189330
970,263540
971,011370
972,214270
973,322180
974,239610
975,004650
976,123570
977,041520
978,049080
979,142760
980,309930
981,241820
982,033320
983,025550
984,032540
985,065650
986,224110
987,098120
988,101170
989,109960
990,440290
991,277070
992,052900
993,363260
994,041460
995,290090
996,037370
997,260660
998,348080
999,100590
1000,015710
1001,043260
1002,063440
1003,049430
1004,101330
1005,064520
1006,010170
1007,101390
1008,051490
1009,050960
1010,242040
1011,065950
1012,038870
1013,129920
1014,450520
1015,378800
1016,119850
1017,080530
1018,068050
1019,024910
1020,239340
1021,017480
1022,438700
1023,270870
1024,024800
1025,049480
1026,094840
1027,222160
1028,189690
1029,227950
1030,137080
1031,353590
1032,175140
1033,226340
1034,393210
1035,064850
1036,306040
1037,017650
1038,175250
1039,348030
1040,096350
1041,187660
1042,376980
1043,122690
1044,327260
1045,087600
1046,317850
1047,053270
1048,419120
1049,430690
1050,122350
1051,288980
1052,072990
1053,039830
1054,150900
1055,087260
1056,095270
1057,101000
1058,032680
1059,083660
1060,276730
1061,139670
1062,250000
1063,376180
1064,038460
1065,307180
1066,024740
1067,254120
1068,265740
1069,290740
1070,318000
1071,052220
1072,072470
1073,214610
1074,220180
1075,052770
1076,412350
1077,033130
1078,442900
1079,134580
1080,225220
1081,049180
1082,104200
1083,014570
1084,042110
1085,288330
1086,424980
1087,355690
1088,094940
1089,106080
1090,303030
1091,148930
1092,092300
1093,032940
1094,147830
1095,115440
1096,336060
1097,081150
1098,042040
1099,049550
1100,046390
1101,097800
1102,311390
1103,115310
1104,088910
1105,103840
1106,024950
1107,007370
1108,069920
1109,256630
1110,057030
1111,060850
1112,046970
1113,147760
1114,097780
1115,096690
1116,084180
1117,044060
1118,340810
1119,168330
1120,223250
1121,317690
1122,238490
1123,067920
1124,010240
1125,014190
1126,053160
1127,013720
1128,066900
1129,322780
1130,273060
1131,038010
1132,440320
1133,002230
1134,373170
1135,355150
1136,285800
1137,133750
1138,023460
1139,023440
1140,007680
1141,359090
1142,307280
1143,110020
1144,277410
1145,066130
1146,043340
1147,405920
1148,171010
1149,060540
1150,222110
1151,044960
1152,388790
1153,088280
1154,367000
1155,019990
1156,318410
1157,417860
1158,262840
1159,389030
1160,434480
1161,056700
1162,068330
1163,452300
1164,415380
1165,214870
1166,413640
1167,246960
1168,004780
1169,069540
1170,139050
1171,128540
1172,039420
1173,314930
1174,263770
1175,067170
1176,053350
1177,048770
1178,019540
1179,245620
1180,049120
1181,097870
1182,354200
1183,304840
1184,047770
1185,900100
1186,238120
1187,073640
1188,075970
1189,037230
1190,100660
1191,115610
1192,053620
1193,417180
1194,256150
1195,040350
1196,100030
1197,091590
1198,037350
1199,173940
1200,298060
1201,025440
1202,004590
1203,226360
1204,052670
1205,200780
1206,024830
1207,031310
1208,299170
1209,418250
1210,109820
1211,196490
1212,056360
1213,099220
1214,099390
1215,320000
1216,263810
1217,033560
1218,065370
1219,037030
1220,307870
1221,052300
1222,009620
1223,204020
1224,016600
1225,114630
1226,032790
1227,291650
1228,099520
1229,198440
1230,198940
1231,039610
1232,040610
1233,022220
1234,058110
1235,335810
1236,153490
1237,003310
1238,062860
1239,036170
1240,900340
1241,001840
1242,290380
1243,039020
1244,034940
1245,007720
1246,227610
1247,014970
1248,126640
1249,127120
1250,246690
1251,013810
1252,076080
1253,066360
1254,267790
1255,377330
1256,222420
1257,073110
1258,405000
1259,039010
1260,080010
1261,083550
1262,018700
1263,053950
1264,217480
1265,080520
1266,229000
1267,332290
1268,049830
1269,052460
1270,376290
1271,196450
1272,210120
1273,047080
1274,318010
1275,181340
1276,045060
1277,046940
1278,357880
1279,007770
1280,016250
1281,131100
1282,123840
1283,363250
1284,279600
1285,010280
1286,290520
1287,051380
1288,140520
1289,351320
1290,032580
1291,057540
1292,109080
1293,129890
1294,049630
1295,199730
1296,299660
1297,169330
1298,038060
1299,090150
1300,198080
1301,007530
1302,052600
1303,078590
1304,391060
1305,053590
1306,362990
1307,028080
1308,187220
1309,038620
1310,069410
1311,352770
1312,263920
1313,054540
1314,019770
1315,096610
1316,052860
1317,033200
1318,177350
1319,088290
1320,050860
1321,290120
1322,089150
1323,419540
1324,024120
1325,008370
1326,023770
1327,138070
1328,177830
1329,222980
1330,221800
1331,332370
1332,065440
1333,208640
1334,406820
1335,297570
1336,900310
1337,221980
1338,289010
1339,328380
1340,195500
1341,219550
1342,340440
1343,031510
1344,065060
1345,072950
1346,187270
1347,290660
1348,035620
1349,092600
1350,203450
1351,021880
1352,368970
1353,101240
1354,038950
1355,197140
1356,042940
1357,024940
1358,127710
1359,193250
1360,046310
1361,045340
1362,067390
1363,085910
1364,331520
1365,005670
1366,148780
1367,153460
1368,238200
1369,024840
1370,036690
1371,054300
1372,065500
1373,083470
1374,448740
1375,037760
1376,040160
1377,067010
1378,286750
1379,228340
1380,114450
1381,429270
1382,002290
1383,131220
1384,021650
1385,017510
1386,356890
1387,208710
1388,012340
1389,021040
1390,247660
1391,094860
1392,221840
1393,054180
1394,045520
1395,353190
1396,312610
1397,014100
1398,089530
1399,184230
1400,032800
1401,051390
1402,051780
1403,032960
1404,131090
1405,331380
1406,037400
1407,089140
1408,006050
1409,263020
1410,435620
1411,020180
1412,036000
1413,080720
1414,060900
1415,119500
1416,006920
1417,111870
1418,032750
1419,025880
1420,290270
1421,071850
1422,146060
1423,290560
1424,189860
1425,065170
1426,045510
1427,291810
1428,059100
1429,083640
1430,079170
1431,143540
1432,018680
1433,075130
1434,900110
1435,036480
1436,016920
1437,121850
1438,001810
1439,246250
1440,039310
1441,130500
1442,058450
1443,232830
1444,032980
1445,380540
1446,065570
1447,192390
1448,115480
1449,187790
1450,377220
1451,048470
1452,318160
1453,131760
1454,045300
1455,060240
1456,016100
1457,030350
1458,036180
1459,035290
1460,060380
1461,117670
1462,123010
1463,372800
1464,452980
1465,012620
1466,038530
1467,258790
1468,296640
1469,331920
1470,204630
1471,076610
1472,138360
1473,317120
1474,148250
1475,050120
1476,008470
1477,019570
1478,095910
1479,237750
1480,089230
1481,086060
1482,093380
1483,303360
1484,313760
1485,252500
1486,035460
1487,054090
1488,101400
1489,439250
1490,079000
1491,113810
1492,079970
1493,043100
1494,001000
1495,190650
1496,099410
1497,900120
1498,215480
1499,347700
1500,081580
1501,038340
1502,043090
1503,208350
1504,317240
1505,080470
1506,002680
1507,033050
1508,043590
1509,017000
1510,310870
1511,130740
1512,026040
1513,131180
1514,082660
1515,352940
1516,215790
1517,018620
1518,058530
1519,317530
1520,299910
1521,032080
1522,048830
1523,104040
1524,035200
1525,137940
1526,073190
1527,043710
1528,123750
1529,067730
1530,333050
1531,019660
1532,323230
1533,063760
1534,365900
1535,050760
1536,154040
1537,079190
1538,044480
1539,044780
1540,159910
1541,424760
1542,032280
1543,068940
1544,091340
1545,079650
1546,103230
1547,154030
1548,225590
1549,451700
1550,060480
1551,072520
1552,308100
1553,020400
1554,053060
1555,179530
1556,008290
1557,085810
1558,115530
1559,025870
1560,054410
1561,016670
1562,344860
1563,121890
1564,027040
1565,060260
1566,900260
1567,091970
1568,900070
1569,900270
1570,084440
1571,054220
1572,039740
1573,049470
1574,031860
1575,054940
1576,017250
1577,275630
1578,123330
1579,377460
1580,224060
1581,361670
1582,043200
1583,464680
1584,335870
1585,188260
1586,098660
1587,065150
1588,225430
1589,073540
1590,208860
1591,215380
1592,219750
1593,900280
1594,196700
1595,079950
1596,033790
1597,373200
1598,065770
1599,223310
1600,250930
1601,066430
1602,134060
1603,106240
1604,043360
1605,070590
1606,191410
1607,468510
1608,214310
1609,067770
1610,071460
1611,101680
1612,227100
1613,217620
1614,230980
1615,413630
1616,070300
1617,258830
1618,115570
1619,050090
1620,026910
1621,192410
1622,436530
1623,011080
1624,078860
1625,096870
1626,069140
1627,449020
1628,069330
1629,457630
1630,419270
1631,900300
1632,430230
