,Symbol
1320,AMNB
1321,CRBU
1322,MRNS
1323,VALN
1324,SMBC
1325,ADPT
1326,ATNI
1327,LMB
1328,RSVR
1329,FMNB
1330,AMSC
1331,RWAY
1332,OSUR
1333,PEPG
1334,CBUS
1335,RMGCU
1336,BTMD
1337,DENN
1338,GRPN
1339,CCBG
1340,HCAT
1341,LIND
1342,LAND
1343,CAC
1344,AVAH
1345,TSAT
1346,SKYT
1347,MXCT
1348,FITBI
1349,HAFC
1350,CWCO
1351,LFMD
1352,CTLP
1353,IPHA
1354,ANNX
1355,JOUT
1356,BHFAN
1357,HRTX
1358,LSEA
1359,ABUS
1360,ZIMV
1361,HONE
1362,BVS
1363,GDEV
1364,NTGR
1365,DRCT
1366,GLAD
1367,ATLC
1368,QRTEA
1369,CHSCN
1370,GCBC
1371,AVNW
1372,HTBI
1373,CDMO
1374,STTK
1375,TRDA
1376,THFF
1377,RDZN
1378,BNAI
1379,LYTS
1380,WASH
1381,RGP
1382,ANSC
1383,CVRX
1384,CLOV
1385,GLRE
1386,COOLU
1387,OCS
1388,SLAM
1389,MREO
1390,DAKT
1391,TBPH
1392,ALRS
1393,AEHR
1394,DHIL
1395,CLFD
1396,CELC
1397,NEGG
1398,CCNE
1399,ADTN
1400,DAVE
1401,SPFI
1402,NFBK
1403,TERN
1404,PGC
1405,BBCP
1406,BATRA
1407,AVXL
1408,ZYXI
1409,DCGO
1410,OSPN
1411,RENB
1412,BHFAP
1413,RCEL
1414,JSPR
1415,CGC
1416,CHW
1417,ACGLN
1418,MGTX
1419,VLGEA
1420,AUDC
1421,FORR
1422,ESGRP
1423,ONEW
1424,CRBP
1425,SHYF
1426,AURA
1427,SRDX
1428,HUMA
1429,NBN
1430,BHRB
1431,MGX
1432,GGR
1433,HNST
1434,ASLE
1435,EPIX
1436,CRMT
1437,FBLG
1438,CAN
1439,MODV
1440,FSBC
1441,ESQ
1442,AKBA
1443,ESPR
1444,NVEC
1445,FARO
1446,CSTR
1447,BLZE
1448,LXEO
1449,AROW
1450,TWLVU
1451,BHFAO
1452,DNTH
1453,KRNY
1454,SNDL
1455,NYXH
1456,AGNCO
1457,SWIM
1458,ITOS
1459,CHSCP
1460,BPYPM
1461,DSKE
1462,MCFT
1463,TCMD
1464,DGICA
1465,NPCE
1466,PRCH
1467,HBANP
1468,AMSWA
1469,SMMF
1470,TNYA
1471,IVCBU
1472,JFIN
1473,MTC
1474,WLDN
1475,BOOM
1476,RXT
1477,HRZN
1478,REAL
1479,ANIK
1480,THRD
1481,GLUE
1482,HROW
1483,SHBI
1484,HIFS
1485,ORGO
1486,NATR
1487,AMRN
1488,VALU
1489,MOFG
1490,LUNG
1491,VMD
1492,INZY
1493,SEZL
1494,NTRSO
1495,PBPB
1496,MTRX
1497,PTSI
1498,PGEN
1499,NEXN
1500,LMNR
1501,CERS
1502,QIWI
1503,HCVIU
1504,RRBI
1505,FFIC
1506,MVIS
1507,LOVE
1508,PKOH
1509,ANSCU
1510,DOMO
1511,PROC
1512,IVVD
1513,SMXT
1514,GPRO
1515,BETR
1516,LX
1517,MPB
1518,SHCR
1519,MYPS
1520,PROK
1521,BCSAU
1522,EGHT
1523,IPX
1524,NWPX
1525,GAMB
1526,JZXN
1527,FNKO
1528,NAUT
1529,UHG
1530,AIRS
1531,PLMIU
1532,ARTNA
1533,SPOK
1534,KMDA
1535,FRBA
1536,MCBC
1537,HCMAU
1538,ANL
1539,HIVE
1540,AGNCN
1541,TCRX
1542,AXGN
1543,AVIR
1544,KRNLU
1545,RBB
1546,AQST
1547,ACABU
1548,GPACU
1549,IPXXU
1550,ADAP
1551,SOHU
1552,SSP
1553,IPXX
1554,GUTS
1555,HBANL
1556,PPYAU
1557,IPSC
1558,GILT
1559,PANL
1560,ACIU
1561,POWW
1562,SOPH
1563,BWB
1564,SMTI
1565,VSTA
1566,LINC
1567,NETDU
1568,GATEU
1569,TRUE
1570,CCG
1571,LYRA
1572,OCGN
1573,NETD
1574,WLFC
1575,ERAS
1576,NODK
1577,ADVM
1578,GENK
1579,PWUPU
1580,CLMB
1581,EBTC
1582,ACGLO
1583,TGAN
1584,SNBR
1585,TTSH
1586,BTSGU
1587,XERS
1588,BYRN
1589,JRVR
1590,TLS
1591,ACNB
1592,ENTA
1593,ITIC
1594,GAMCU
1595,BRKHU
1596,GOSS
1597,KOD
1598,ALTUU
1599,HEAR
1600,CDRO
1601,RAPT
1602,SLMBP
1603,GWRS
1604,NVX
1605,LSXMB
1606,ADTH
1607,PMGMU
1608,FENC
1609,COMM
1610,UROY
1611,CPZ
1612,VSTM
1613,SENEA
1614,MTLS
1615,FRST
1616,FBIZ
1617,BLEUU
1618,REFI
1619,RMNI
1620,PFIS
1621,ZUMZ
1622,BRLT
1623,SERA
1624,FISI
1625,NBTX
1626,CARE
1627,ONYXU
1628,IHRT
1629,APPS
1630,IMMP
1631,LGVCU
1632,PIII
1633,VNET
1634,PYXS
1635,NAAS
1636,HBCP
1637,SFIX
1638,WHF
1639,WEYS
1640,WTBA
1641,WTFCP
1642,OPT
1643,PSTX
1644,XOMA
1645,ARRWU
1646,CZNC
1647,HMST
1648,CBNK
1649,VBNK
1650,IVCAU
1651,CCSI
1652,ATAI
1653,UNTY
1654,NATH
1655,FMAO
1656,AISP
1657,ORRF
1658,AFRI
1659,CHRS
1660,EDAP
1661,LOCO
1662,FDBC
1663,IBEX
1664,SGC
1665,FHTX
1666,FSTR
1667,INBK
1668,PFTAU
1669,MVBF
1670,SLDP
1671,PEGRU
1672,BSRR
1673,EMLDU
1674,BLNK
1675,TCBX
1676,BCAL
1677,PUCKU
1678,FCNCP
1679,RGTI
1680,BTBT
1681,CMPX
1682,PRLH
1683,SBT
1684,NPABU
1685,QSI
1686,QDROU
1687,NRIM
1688,LILA
1689,GRTS
1690,BMRC
1691,STOK
1692,AFCG
1693,ILPT
1694,CLAR
1695,BLUE
1696,MCAAU
1697,PRLD
1698,FHLTU
1699,PLMJU
1700,MESO
1701,NEWT
1702,IRAAU
1703,AIP
1704,HOWL
1705,PPTA
1706,JAKK
1707,FSBW
1708,BOCN
1709,LGCL
1710,OBT
1711,FANH
1712,JSM
1713,API
1714,JMSB
1715,ARAY
1716,PLAOU
1717,ESEA
1718,LE
1719,RENEU
1720,TLGYU
1721,CDT
1722,LNKB
1723,FNLC
1724,USCTU
1725,SGHT
1726,PLAO
1727,SFST
1728,CRNT
1729,UTMD
1730,BSVN
1731,BROG
1732,INSE
1733,INO
1734,AEAEU
1735,RDVT
1736,TCBIO
1737,ZVRA
1738,SKGRU
1739,CMCAU
1740,QURE
1741,ZEO
1742,RIGL
1743,THCPU
1744,IMAQU
1745,CITEU
1746,HOFT
1747,NOTV
1748,AKYA
1749,FIACU
1750,XFINU
1751,DPCSU
